"","mukey","sl_length"
"1","1008427","61.0"
"2","1010209","64.0"
"3","1014265","53.0"
"4","1018094","30.0"
"5","106369","33.0"
"6","106370","62.0"
"7","106371","99.0"
"8","106372","91.0"
"9","106373","68.0"
"10","106374","68.0"
"11","106375","68.0"
"12","106376","84.0"
"13","106377","84.0"
"14","106378","33.0"
"15","106379","33.0"
"16","106380","91.0"
"17","106381","37.0"
"18","106382","99.0"
"19","106383","84.0"
"20","106384","33.0"
"21","106385","84.0"
"22","106386","68.0"
"23","106387","53.0"
"24","106388","33.0"
"25","106389","99.0"
"26","106390","99.0"
"27","106392","99.0"
"28","106393","99.0"
"29","106394","84.0"
"30","106395","53.0"
"31","106396","33.0"
"32","106397","99.0"
"33","106398","99.0"
"34","106399","84.0"
"35","106400","55.0"
"36","106401","106.0"
"37","106403","99.0"
"38","106404","99.0"
"39","106405","99.0"
"40","106406","84.0"
"41","106407","99.0"
"42","106408","84.0"
"43","106409","99.0"
"44","106410","84.0"
"45","106411","68.0"
"46","106412","68.0"
"47","106413","84.0"
"48","106414","68.0"
"49","106415","99.0"
"50","106416","30.0"
"51","106417","91.0"
"52","106418","91.0"
"53","106419","99.0"
"54","106420","0.0"
"55","106421","99.0"
"56","106422","99.0"
"57","106423","99.0"
"58","106424","68.0"
"59","106425","99.0"
"60","106426","84.0"
"61","106427","99.0"
"62","106428","99.0"
"63","106429","68.0"
"64","106430","33.0"
"65","106431","84.0"
"66","106432","30.0"
"67","106433","91.0"
"68","106434","84.0"
"69","106435","99.0"
"70","106436","99.0"
"71","106437","84.0"
"72","106438","84.0"
"73","106439","99.0"
"74","106440","84.0"
"75","106441","99.0"
"76","106442","60.0"
"77","106443","60.0"
"78","106444","99.0"
"79","106445","99.0"
"80","106446","84.0"
"81","106447","0.0"
"82","106448","91.0"
"83","106450","68.0"
"84","106451","33.0"
"85","106452","60.0"
"86","106453","84.0"
"87","106454","33.0"
"88","106455","91.0"
"89","106456","68.0"
"90","106457","68.0"
"91","106458","68.0"
"92","106459","33.0"
"93","106460","99.0"
"94","106461","84.0"
"95","106462","61.0"
"96","106463","61.0"
"97","106464","33.0"
